P_ID,Date Tested,Gender,Age,Handedness,Corrected,Eye Dominance,Eye occluded (NON-DOMINANT EYE),Condition order,VA_NoFilter,VA_1_Filter,VA_2_Filter,VA_No minus 2_Filter,CS_NoFilter,CS_1_Filter,CS_2_Filter,Stereo_NoFilter,Stereo_1_Filter,Stereo_2_Filter,Pegb_NoFilter,Pegb_1_Filter,Pegb_2_Filter,Water_NoFilter_Time,Water_1_Filter_Time,Water_2_Filter_Time,Water_NoFilter_Accuracy,Water_1_Filter_Accuracy,Water_2_Filter_Accuracy,Water_NoFilter_time*accuracy,Water_1_Filter_time*accuracy,Water_2_Filter_time*accuracy,Aim_NoFilter_Mean,Aim_1_Filter_Mean,Aim_2_Filter_Mean,Aim_NoFilter_Median,Aim_1_Filter_Median,Aim_2_Filter_Median,Aim_NoFilter_Mean_NOutl,Aim_1_Filter_Mean_Noutl,Aim_2_Filter_Mean_Noutl,Aim_NoFilter_Median_Noutl,Aim_1_Filter_Median_Noutl,Aim_2_Filter_Median_Noutl
1,31/01/2018,2,19,2,2,Left,Right,"1, 2, 3",-0.22,-0.1,0.22,-0.44,13,12.5,10,9,2,6,14,13,13,20.41,21.83,21.61,0,20,16,0,436.6,345.76,1.11431,1.05294,1.07412,1.04,0.98,1.01,1.114,1.053,1.074,1.04,0.98,1.01
2,31/01/2018,1,19,2,2,Left,Right,"1, 3, 2",0.04,0.04,0.32,-0.28,13,13,9,7,2,2,15,16,14,21.3,28.56,31.85,21,17,14,447.3,485.52,445.9,1.01549,1.00412,1.00314,0.96,0.96,0.97,1.015,1.004,1.003,0.96,0.96,0.97
3,01/02/2018,1,18,2,2,Right,Left,"2, 1, 3",-0.1,-0.04,0.48,-0.58,12,12,9.5,8,3,4,16,14,13,17.74,19.96,15.53,5,17,18,88.7,339.32,279.54,1.04471,1.20039,1.21765,0.93,1.12,1.07,1.045,1.2,1.218,0.93,1.12,1.07
4,01/02/2018,1,19,2,1,Right,Left,"2, 3, 1",0.04,0.04,0.3,-0.26,13,12.5,10.5,5,4,3,16,15,15,13.62,14.2,13.21,13,11,5,177.06,156.2,66.05,1.01804,1.21039,1.09098,0.97,1.14,1.07,1.018,1.21,1.091,0.97,1.14,1.07
5,01/02/2018,1,18,2,2,Right,Left,"3, 1, 2",-0.14,0.02,0.42,-0.56,12.5,11.5,9.5,9,8,9,17,16,14,16.21,14.7,16.21,3,8,13,48.63,117.6,210.73,1.23451,1.17588,1.30725,1.19,1.15,1.23,1.235,1.176,1.251,1.19,1.15,1.225
6,05/02/2018,1,20,2,2,Right,Left,"3, 2, 1",-0.06,-0.12,0.48,-0.54,13,12.5,11.5,9,1,5,15,15,14,13.1,15.23,14.67,2,4,14,26.2,60.92,205.38,0.960784,0.996078,1.15216,0.97,0.94,1.09,0.961,0.996,1.152,0.97,0.94,1.09
7,05/02/2018,1,19,2,2,Right,Left,"1, 2, 3",-0.02,0.02,0.3,-0.32,13,12,11.5,7,1,3,13,16,14,18.08,17.88,16.38,6,10,29,108.48,178.8,475.02,1.22098,1.07039,1.10275,1.16,1.04,1.07,1.221,1.07,1.103,1.16,1.04,1.07
8,05/02/2018,1,19,2,2,Right,Left,"1, 3, 2",0.02,-0.02,0.26,-0.24,11.5,11.5,11,6,2,5,14,16,14,12.5,12.33,14.39,28,17,15,350,209.61,215.85,1.34078,1.19196,1.22804,1.27,1.13,1.16,1.305,1.192,1.228,1.265,1.13,1.16
9,05/02/2018,1,18,2,2,Right,Left,"2, 1, 3",0.02,-0.06,0.24,-0.22,13,12,11.5,9,0,4,19,18,18,11.53,14.89,11.01,16,20,28,184.48,297.8,308.28,0.94,1.24196,0.97098,0.94,1.04,0.94,0.94,1.202,0.971,0.94,1.035,0.94
10,05/02/2018,1,20,2,1,Left,Right,"2, 3, 1",-0.18,-0.08,0.24,-0.42,13,12,11,8,8,4,15,14,14,13.42,16.26,15.32,13,39,26,174.46,634.14,398.32,1.23294,1.61196,1.44608,1.17,1.47,1.3,1.233,1.612,1.446,1.17,1.47,1.3
